assignment,userid,timemodified,grade
16,117,1732607754,-1.0
16,85,1732607754,-1.0
16,104,1732638867,-1.0
16,110,1732914161,-1.0
16,92,1732914161,-1.0
16,80,1732974349,-1.0
16,116,1732974349,-1.0
16,108,1733041843,-1.0
16,45,1733041843,-1.0
16,91,1733051482,-1.0
16,81,1733051482,-1.0
16,76,1733057566,-1.0
16,60,1733057566,-1.0
16,118,1733060308,-1.0
16,129,1733060308,-1.0
16,79,1733068559,-1.0
16,125,1733068559,-1.0
16,102,1733068559,-1.0
16,103,1733068559,-1.0
16,126,1733070642,-1.0
16,128,1733070642,-1.0
16,123,1733072789,-1.0
16,111,1733072789,-1.0
16,30,1733076197,-1.0
16,83,1733076197,-1.0
16,112,1733076197,-1.0
16,107,1733081746,-1.0
16,130,1733081746,-1.0
16,106,1733081746,-1.0
16,100,1733082066,-1.0
16,97,1733082066,-1.0
16,82,1733083778,-1.0
16,121,1733093528,-1.0
16,99,1733093528,-1.0
17,80,1733137551,-1.0
17,116,1733137551,-1.0
17,113,1733139431,-1.0
17,77,1733139431,-1.0
17,98,1733159700,-1.0
17,95,1733159700,-1.0
17,104,1733159863,-1.0
17,109,1733164033,-1.0
17,93,1733164033,-1.0
17,117,1733249585,-1.0
17,85,1733249585,-1.0
17,110,1733432180,-1.0
17,92,1733432180,-1.0
17,100,1733483880,-1.0
17,97,1733483880,-1.0
17,118,1733497493,-1.0
17,129,1733497493,-1.0
17,115,1733522187,-1.0
17,69,1733522187,-1.0
17,82,1733659992,-1.0
17,123,1733671304,-1.0
17,111,1733671304,-1.0
17,108,1733674538,-1.0
17,45,1733674538,-1.0
17,126,1733685342,-1.0
17,128,1733685342,-1.0
17,107,1733687376,-1.0
17,130,1733687376,-1.0
17,106,1733687376,-1.0
17,91,1733688436,-1.0
17,81,1733688436,-1.0
17,30,1733692636,-1.0
17,83,1733692636,-1.0
17,112,1733692636,-1.0
17,76,1733692824,-1.0
17,60,1733692824,-1.0
17,121,1733697471,-1.0
17,99,1733697471,-1.0
17,79,1733698232,-1.0
17,125,1733698232,-1.0
17,102,1733698232,-1.0
17,103,1733698232,-1.0
21,107,1733733147,100.0
21,115,1733733187,100.0
21,76,1733733210,100.0
21,83,1733733258,100.0
21,123,1733733352,100.0
21,110,1733733386,100.0
21,129,1733733431,100.0
21,118,1733733476,100.0
21,92,1733734887,100.0
21,82,1733734925,100.0
21,106,1733734992,100.0
21,104,1733735078,100.0
21,69,1733735165,100.0
21,128,1733735200,100.0
21,77,1733735233,100.0
21,113,1733735476,100.0
21,100,1733735637,100.0
21,97,1733735680,100.0
21,79,1733735720,100.0
21,60,1733735783,100.0
21,126,1733735858,100.0
21,93,1733735907,100.0
21,109,1733735978,100.0
21,111,1733736045,100.0
21,102,1733736210,100.0
21,116,1733736288,100.0
21,80,1733736434,100.0
18,117,1733741268,-1.0
18,85,1733741268,-1.0
20,113,1733741292,-1.0
20,77,1733741292,-1.0
20,109,1733743252,-1.0
20,93,1733743252,-1.0
20,110,1733744187,-1.0
20,92,1733744187,-1.0
20,118,1733751057,-1.0
20,129,1733751057,-1.0
20,126,1733751273,-1.0
20,128,1733751273,-1.0
