Lernziel,14,49,66,86,120,142,164,177,203,212,241,255,265,266,267,290,300,310,320,329,338,349,358,367,378,388,398,410,425,436,447,458,469,480,491
Manuskript,33,34,35,36,37,38,39,50,51,52,53,61,67,68,69,87,88,89,99,100,101,102,103,104,105,121,133,143,144,145,146,17,148,165,166,167,168,178,204,213,242,256,268,269,270,291,301,311,321,330,339,350,359,372,379,389,426,437,448,459,470,481,492,494,496
Kurzuebersicht,17,40,55,70,90,106,122,134,149,169,179,205,214,243,257,271,272,273,292,302,312,322,331,340,351,360,368,380,390,401,415,428,439,450,461,472,483,498
Uebung,18,19,20,41,56,57,58,71,72,73,74,91,193,206,215,244,258,274,275,276,293,303,313,323,332,342,352,361,369,381,391,402,416,429,440,451,462,473,484,499
Quiz,21,42,59,75,92,109,125,137,152,172,182,194,207,216,245,259,277,278,279,294,304,314,324,333,341,353,362,370,382,392,403,417,430,441,452,463,474,485,500
Zusammenfassung,22,43,60,76,93,110,126,138,153,154,155,173,183,195,208,217,246,260,280,281,282,295,305,315,325,334,343,354,363,371,383,393,404,431,442,453,464,475,486,501
Zusatzmaterial Textuell,23,24,25,26,44,77,78,79,80,81,94,111,112,113,114,115,127,139,156,157,158,159,174,184,196,197,198,208,218,247,248,249,261,283,296,306,316,326,335,344,347,348,355,364,384,405,421,432,443,454,465,476,487,502
Zusatzmaterial Audio,27,45,64,82,95,116,128,140,160,175,185,199,209,219,250,262,274,285,286,297,307,317,327,336,345,356,365,375,385,396,406,423,434,445,456,467,478,488,504
Zusatzmaterial Visuell,28,46,65,83,84,85,96,117,118,119,141,161,162,163,176,186,210,220,251,252,253,263,287,288,289,298,308,318,328,337,346,357,366,376,386,397,407,424,435,446,457,468,479,489,505
