Lernziel,712,713,714,715,716,718,720,721,722,252,136,177,209,154,155,156,145,191,200,234,261,270,279,299,307,315,322,332,342,351,360,369,378,387,395
Manuskript,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,73,74,75,76,77,79,80,78,95,96,98,99,100,101,102,97,103,104,105,106,253,137,178,210,157,158,159,146,192,201,235,262,271,280,300,308,316,343,352,361,370,379,388,396,397,398
Kurzübersicht,675,676,677,678,679,680,681,682,683,684,685,254,138,179,211,160,161,162,147,193,202,236,644,272,281,301,309,317,325,335,344,353,362,371,380,389,399
Übung,22,26,30,737,738,53,54,739,55,56,57,740,702,703,706,708,710,127,255,139,180,212,163,164,165,148,194,203,237,264,273,282,302,311,318,326,336,345,354,363,372,381,390,400
Quiz,31,67,68,69,71,92,93,117,118,119,120,295,256,140,181,213,166,167,168,149,195,204,238,265,274,283,303,310,319,327,337,346,355,364,373,382,391,401
Zusammenfassung,701,700,698,697,90,696,723,724,107,116,725,726,129,257,141,182,214,169,170,171,150,196,205,239,266,275,284,662,312,663,328,347,356,365,374,383,392,402
Zusatzmaterial Textuell,28,29,23,27,499,58,60,61,64,66,500,81,82,84,85,91,83,110,108,109,111,112,742,743,130,131,132,258,142,184,185,186,215,172,151,197,206,240,267,289,290,276,285,314,330,408,348,357,366,375,384,407,403
Zusatzmaterial Audio,24,695,694,693,692,691,690,689,688,687,686,133,259,143,187,216,173,174,175,152,198,207,241,268,277,286,658,659,660,661,340,349,358,367,376,385,393,404
Zusatzmaterial Visuell,25,727,728,63,65,729,730,87,88,731,733,734,114,115,735,736,260,144,188,189,190,217,176,297,298,153,199,208,242,269,278,287,306,313,321,329,341,350,359,368,377,386,394,405
